Category,Product,Warehouse,Zip,Date,Time,Order Demand,Value
TBOX,TBOX,Berkeley,94701,27/08/2018,23:56:00,1000,504.01
Worksuite 1000,Tribes,Berkeley,94701,18/07/2018,23:55:00,1000,147.33
TBOX,TBOX S3,Berkeley,94701,14/09/2018,23:50:00,1000,185.25
Worksuite 1000,Sociplace,Berkeley,94701,05/10/2018,23:45:00,1000,255
TBOX,TBOX S3,Berkeley,94701,15/06/2018,23:35:00,1000,185.25
Worksuite 1000,SlidePoint,Berkeley,94701,18/07/2018,23:55:00,1000,364.39
Worksuite 1000,ShareIt,Berkeley,94701,14/09/2018,23:50:00,1000,197.11
Worksuite 1000,Whathype,Berkeley,94701,20/08/2018,23:30:00,1000,396.33
Worksuite 1000,EmailOut,Berkeley,94701,26/07/2018,23:30:00,1000,91.09
Worksuite 1000,Wordwrite,Berkeley,94701,18/07/2018,23:55:00,1000,467.22
Worksuite 1000,Wordwrite,Berkeley,94701,28/09/2018,23:30:00,1000,467.22
Worksuite 1000,Interchange,Berkeley,94701,19/06/2018,23:30:00,1000,148.23
Worksuite 1000,SlidePoint,Berkeley,94701,05/10/2018,23:45:00,1000,364.39
Worksuite 1000,Tribes,Berkeley,94701,11/06/2018,23:30:00,1000,147.33
Worksuite 1000,EmailOut,Berkeley,94701,30/07/2018,23:23:00,1000,91.09
Worksuite 1000,MindVis,Berkeley,94701,28/09/2018,23:30:00,1000,437.66
BI Stack,BI Visualiser,Berkeley,94701,06/09/2018,23:23:00,1000,128.54
Worksuite 1000,PlanAhead,Berkeley,94701,02/07/2018,23:20:00,1000,407.99
Worksuite 1000,Spreadcel,Berkeley,94701,28/09/2018,23:30:00,1000,157.28
Worksuite 1000,SlidePoint,Berkeley,94701,18/07/2018,23:55:00,1000,364.39
TBOX,TBOX S3,Berkeley,94701,14/08/2018,23:10:00,1000,185.25
Worksuite 1000,Slackala,Berkeley,94701,06/07/2018,23:05:00,1000,591.88
Worksuite 1000,Spreadcel,Berkeley,94701,17/08/2018,23:03:00,1000,157.28
Worksuite 1000,Wordwrite,Berkeley,94701,27/06/2018,23:00:00,1000,467.22
TBOX,TBOX S3,Berkeley,94701,08/06/2018,23:00:00,1000,185.25
Worksuite 1000,SlidePoint,Berkeley,94701,30/07/2018,23:23:00,1000,364.39
BI Stack,BI Visualiser,Berkeley,94701,19/09/2018,23:00:00,1000,128.54
Worksuite 1000,QNote,Berkeley,94701,30/07/2018,23:23:00,1000,575.24
TBOX,TBOX S3,Berkeley,94701,27/06/2018,23:00:00,1000,185.25
Worksuite 1000,VideoRight,Berkeley,94701,20/08/2018,23:30:00,1000,601.56
Worksuite 1000,SlidePoint,Berkeley,94701,25/09/2018,23:00:00,1000,364.39
TBOX,TBOX S3,Berkeley,94701,19/09/2018,23:00:00,1000,185.25
Worksuite 1000,PublishIt,Berkeley,94701,18/09/2018,23:00:00,1000,621.87
Worksuite 1000,QDrive,Berkeley,94701,29/06/2018,23:00:00,1000,283.01
TBOX,TBOX S3,Berkeley,94701,15/10/2018,23:00:00,1000,185.25
